email,password
student1@example.com,pass123
student2@example.com,mypassword
student3@example.com,test123
email,password
test@example.com,1234
email,password
test@example.com,1234
yashshree@gmail.com,1414
reyansh.desai@gmail.com,Reyansh@123
aditya.kumar@gmail.com,Aditya@123
aarav.sharma@gmail.com,Aarav@123
aarav.sharma@gmail.com,Aarav@123
arjun.reddy@gmail.com,Arjun@123
aadhya.reddy@gmail.com,Aadhya@123
avni.mehta@gmail.com,Avni@123
meera.patel@gmail.com,Meera@123
ishaan.verma@gmail.com,Ishaan@123
diya.kumar@gmail.com,Diya@123
ishaan.gupta@gmail.com,Ishaan@123
diya.nair@gmail.com,Diya@123
shaurya.singh@gmail.com,Shaurya@123
diya.gupta@gmail.com,Diya@123
vihaan.kumar@gmail.com,Vihaan@123
meera.verma@gmail.com,Meera@123
shaurya.nair@gmail.com,Shaurya@123
avni.nair@gmail.com,Avni@123
krishna.singh@gmail.com,Krishna@123
krishna.patel@gmail.com,Krishna@123
meera.nair@gmail.com,Meera@123
krishna.desai@gmail.com,Krishna@123
aadhya.kumar@gmail.com,Aadhya@123
anaya.gupta@gmail.com,Anaya@123
vihaan.singh@gmail.com,Vihaan@123
reyansh.gupta@gmail.com,Reyansh@123
sai.kumar@gmail.com,Sai@123
shaurya.verma@gmail.com,Shaurya@123
meera.singh@gmail.com,Meera@123
meera.kumar@gmail.com,Meera@123
vihaan.mehta@gmail.com,Vihaan@123
diya.verma@gmail.com,Diya@123
saanvi.kumar@gmail.com,Saanvi@123
vihaan.reddy@gmail.com,Vihaan@123
ira.sharma@gmail.com,Ira@123
ira.desai@gmail.com,Ira@123
aditya.mehta@gmail.com,Aditya@123
ishaan.verma@gmail.com,Ishaan@123
aarohi.desai@gmail.com,Aarohi@123
krishna.singh@gmail.com,Krishna@123
anika.gupta@gmail.com,Anika@123
anaya.sharma@gmail.com,Anaya@123
myra.gupta@gmail.com,Myra@123
anaya.kumar@gmail.com,Anaya@123
vihaan.reddy@gmail.com,Vihaan@123
aadhya.verma@gmail.com,Aadhya@123
arjun.mehta@gmail.com,Arjun@123
saanvi.mehta@gmail.com,Saanvi@123
arjun.sharma@gmail.com,Arjun@123
anika.kumar@gmail.com,Anika@123
saanvi.desai@gmail.com,Saanvi@123
aadhya.singh@gmail.com,Aadhya@123
anaya.desai@gmail.com,Anaya@123
diya.sharma@gmail.com,Diya@123
vivaan.singh@gmail.com,Vivaan@123
ishaan.singh@gmail.com,Ishaan@123
shaurya.desai@gmail.com,Shaurya@123
vihaan.verma@gmail.com,Vihaan@123
anaya.nair@gmail.com,Anaya@123
avni.desai@gmail.com,Avni@123
myra.reddy@gmail.com,Myra@123
anaya.singh@gmail.com,Anaya@123
avni.patel@gmail.com,Avni@123
anika.singh@gmail.com,Anika@123
vivaan.reddy@gmail.com,Vivaan@123
arjun.kumar@gmail.com,Arjun@123
arjun.verma@gmail.com,Arjun@123
reyansh.patel@gmail.com,Reyansh@123
aadhya.reddy@gmail.com,Aadhya@123
ishaan.singh@gmail.com,Ishaan@123
krishna.gupta@gmail.com,Krishna@123
aarav.gupta@gmail.com,Aarav@123
reyansh.reddy@gmail.com,Reyansh@123
myra.nair@gmail.com,Myra@123
vihaan.nair@gmail.com,Vihaan@123
myra.patel@gmail.com,Myra@123
vivaan.gupta@gmail.com,Vivaan@123
vihaan.singh@gmail.com,Vihaan@123
vivaan.patel@gmail.com,Vivaan@123
vihaan.verma@gmail.com,Vihaan@123
aditya.kumar@gmail.com,Aditya@123
krishna.gupta@gmail.com,Krishna@123
vivaan.mehta@gmail.com,Vivaan@123
sai.nair@gmail.com,Sai@123
vihaan.desai@gmail.com,Vihaan@123
vihaan.singh@gmail.com,Vihaan@123
aarav.kumar@gmail.com,Aarav@123
ira.kumar@gmail.com,Ira@123
reyansh.sharma@gmail.com,Reyansh@123
shaurya.singh@gmail.com,Shaurya@123
ishaan.nair@gmail.com,Ishaan@123
avni.reddy@gmail.com,Avni@123
vivaan.mehta@gmail.com,Vivaan@123
